city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
olga,ru,34,34,54,75,90,21
prieska,za,-29,-29,54,71,0,1
montego bay,jm,18,18,78,83,20,3
fethiye,tr,36,36,53,87,75,4
stokmarknes,no,68,68,34,99,76,18
pizarro,co,4,4,77,94,88,3
nivala,fi,63,63,24,91,56,8
gretna,gb,55,55,24,92,44,19
lanivtsi,ua,49,49,12,87,92,19
milos,gr,36,36,62,77,44,28
suzun,ru,53,53,20,91,64,6
athens,us,34,34,66,59,1,6
kolyvan,ru,55,55,15,85,56,8
mollendo,pe,-17,-17,56,90,0,2
bara,sd,10,10,65,74,0,2
fayaoue,nc,-20,-20,80,100,80,13
ingham,au,-18,-18,80,100,92,8
colan,pe,7,7,78,79,0,11
cabanbanan,ph,10,10,89,57,68,4
savannah bight,hn,16,16,80,94,0,22
saraland,us,30,30,66,100,90,6
medford,us,42,42,38,84,90,4
peresichna,ua,50,50,14,78,90,13
brownsville,us,25,25,73,94,40,10
pulaski,us,37,37,51,93,90,3
saravan,la,39,39,32,92,36,4
borogontsy,ru,62,62,-6,58,0,9
anjozorobe,mg,-18,-18,66,77,75,10
gayny,ru,60,60,-1,69,20,6
taywarah,af,33,33,38,89,64,2
jiazi,cn,19,19,80,74,40,11
changchun,cn,43,43,37,64,40,20
alihe,cn,50,50,24,41,44,13
murgab,tm,37,37,53,66,90,11
beaune,fr,47,47,37,93,90,11
coolum beach,au,-26,-26,76,97,92,6
warrnambool,au,-38,-38,61,87,80,24
gatbo,ph,13,13,81,88,44,11
anqing,cn,30,30,59,100,92,4
kwekwe,zw,-18,-18,61,92,80,13
gravatai,br,-29,-29,72,94,0,2
victoria,sc,5,5,86,83,75,3
oeiras,br,-7,-7,76,84,0,6
lanigan,ca,51,51,24,88,80,2
atakpame,tg,7,7,71,94,12,4
macia,mz,-25,-25,73,71,92,10
wilmington,us,39,39,35,68,1,10
malinovoye ozero,ru,51,51,21,93,36,4
santa cruz,cr,36,36,51,87,1,3
allapalli,in,19,19,78,75,0,5
luancheng,cn,37,37,39,93,90,2
zaysan,kz,47,47,27,88,36,3
nhulunbuy,au,-12,-12,86,70,40,4
rabaul,pg,-4,-4,82,99,20,8
arawa,pg,7,7,75,96,20,3
blind river,ca,46,46,29,46,90,3
voskevan,am,41,41,41,86,0,8
los llanos de aridane,es,28,28,64,68,0,5
damavand,ir,35,35,41,90,0,0
canberra,au,-35,-35,89,22,0,28
cumra,tr,37,37,41,93,0,2
bayburt,tr,40,40,14,71,0,2
mnogovershinnyy,ru,53,53,21,65,56,3
szentlorinc,hu,46,46,32,93,92,10
tempio pausania,it,40,40,46,100,92,8
santomera,es,38,38,50,71,20,14
fort pierce,us,27,27,69,60,1,4
mtambile,tz,-5,-5,81,100,76,9
dubovskoye,ru,47,47,42,90,88,12
sao sebastiao do paraiso,br,-20,-20,67,95,20,5
ahero,ke,0,0,61,89,20,5
santo domingo,ec,18,18,73,88,20,4
det udom,th,14,14,84,70,20,5
coquimbo,cl,-29,-29,60,82,0,2
simpang,id,4,4,83,74,75,8
hengyang,cn,26,26,54,100,92,8
nakskov,dk,54,54,29,100,76,29
seydisehir,tr,37,37,30,75,20,1
nenjiang,cn,49,49,31,71,24,16
obeliai,lt,55,55,8,74,0,3
singaparna,id,-7,-7,77,82,24,2
red bluff,us,40,40,53,54,1,4
izamal,mx,20,20,84,58,5,6
fort myers beach,us,26,26,67,77,1,3
parabel,ru,58,58,25,80,48,8
campo maior,br,39,39,43,100,56,6
can,tr,46,46,44,87,92,10
timizart,dz,36,36,51,76,100,6
amboasary,mg,-25,-25,77,88,40,9
owosso,us,43,43,32,68,1,3
amilly,fr,47,47,36,91,88,13
haverhill,us,52,52,30,80,90,16
panalingaan,ph,8,8,83,81,48,6
tomelloso,es,39,39,38,100,92,3
puerto madero,mx,-34,-34,74,83,90,6
aguas belas,br,-9,-9,73,80,0,7
changping,cn,40,40,42,58,12,4
hokitika,nz,-42,-42,64,88,24,4
belyy yar,ru,53,53,23,85,64,2
kolpashevo,ru,58,58,23,80,36,9
ust-kalmanka,ru,52,52,24,94,68,7
palimbang,ph,14,14,87,66,75,11
kourou,gf,5,5,77,83,90,5
chishtian mandi,pk,29,29,71,45,24,5
astana,kz,51,51,17,92,0,6
ugoofaaru,mv,5,5,83,100,0,5
kuruman,za,-27,-27,61,94,88,11
gombong,id,-7,-7,82,76,20,0
san ramon de la nueva oran,ar,-23,-23,78,91,80,2
ingraj bazar,in,25,25,78,42,0,4
istanbul,tr,41,41,59,59,0,11
swan river,ca,52,52,19,74,36,0
gofitskoye,ru,44,44,43,65,0,3
dargaville,nz,-35,-35,72,67,56,21
hami,cn,42,42,54,53,24,11
nzerekore,gn,7,7,69,98,92,4
canon city,us,39,39,7,73,0,2
lisiy nos,ru,60,60,17,78,0,8
ito,jp,34,34,57,71,75,4
verkhoyansk,ru,67,67,-13,60,48,3
college,us,64,64,31,79,1,4
khasan,ru,42,42,43,64,0,8
khuzhir,ru,53,53,27,85,32,0
saint-augustin,ca,44,44,42,93,76,4
otjimbingwe,na,-22,-22,65,87,20,4
cordoba,ar,5,5,49,86,24,0
rutigliano,it,41,41,50,71,20,8
grozesti,ro,44,44,41,86,90,21
itacarambi,br,-15,-15,72,86,64,7
pacasmayo,pe,-7,-7,69,94,92,5
eyl,so,7,7,75,100,92,8
tateyama,jp,36,36,60,31,0,9
meyzieu,fr,45,45,36,93,90,2
senanga,zm,-16,-16,65,98,68,3
cabanas,cu,43,43,41,93,92,3
fort saint james,ca,54,54,35,82,88,2
kendari,id,-3,-3,85,83,8,3
caruray,ph,10,10,84,90,12,14
samarkand,uz,39,39,55,35,24,11
srednyaya yelyuzan,ru,53,53,35,99,92,11
balatonalmadi,hu,47,47,26,92,90,11
petit goave,ht,18,18,75,94,92,1
puri,in,-7,-7,83,80,0,1
humboldt,us,52,52,16,77,48,3
redwater,ca,53,53,26,86,90,6
rudnogorsk,ru,57,57,25,81,48,3
tarabuco,bo,-19,-19,51,96,12,2
lysva,ru,58,58,-1,79,32,2
great yarmouth,gb,52,52,30,74,92,26
callaway,us,46,46,27,66,1,4
verkhnevilyuysk,ru,63,63,-5,56,0,7
andujar,es,38,38,48,98,92,13
avinurme,ee,58,58,12,75,20,12
huaiyuan,cn,32,32,52,99,92,10
canavieiras,br,-15,-15,79,80,92,5
charlottetown,ca,46,46,17,67,75,13
zhaodong,cn,46,46,39,60,0,22
loja,es,-4,-4,58,88,68,1
cave spring,us,37,37,52,100,90,4
khandbari,np,27,27,32,67,0,0
severo-yeniseyskiy,ru,60,60,28,68,76,7
bitung,id,1,1,87,62,20,4
geraldton,au,49,49,21,53,90,5
saint-paul,re,45,45,37,93,75,2
ayagoz,kz,47,47,17,93,36,5
djougou,bj,9,9,70,89,76,8
colac,au,-38,-38,58,70,68,12
livramento,br,-3,-3,75,94,20,3
kasempa,zm,-13,-13,63,100,88,3
enkoping,se,59,59,15,52,0,4
piacabucu,br,-10,-10,76,89,32,6
ardalstangen,no,61,61,-11,51,0,1
tenenkou,ml,14,14,74,34,24,8
semey,kz,50,50,21,86,48,4
paramonga,pe,-10,-10,67,96,8,6
caxito,ao,-22,-22,74,89,64,3
mirandopolis,br,-21,-21,75,87,8,4
bogovarovo,ru,58,58,-14,65,0,2
ahar,ir,38,38,11,66,0,2
nhamunda,br,-2,-2,73,99,20,1
rosarito,mx,4,4,73,73,75,6
baoro,cf,5,5,70,93,68,4
gualaco,hn,15,15,73,83,20,2
keflavik,is,64,64,43,93,75,18
phan thiet,vn,10,10,83,75,0,15
mookane,bw,-23,-23,63,76,0,13
parrita,cr,9,9,71,68,0,8
koshurnikovo,ru,54,54,27,70,36,3
malm,no,64,64,30,63,75,21
blytheville,us,35,35,57,67,1,11
harrisonburg,us,38,38,33,80,75,2
petaluma,us,38,38,49,81,1,2
starosubkhangulovo,ru,53,53,25,92,88,8
tymovskoye,ru,50,50,26,68,68,6
zapadnaya dvina,ru,56,56,1,70,32,3
machinga,mw,-15,-15,63,100,24,3
jiutai,cn,44,44,37,64,40,20
hornepayne,ca,49,49,15,68,88,3
campbell river,ca,50,50,46,81,75,3
castanheira de pera,pt,40,40,48,93,75,2
puerto montt,cl,-41,-41,48,100,75,4
inuvik,ca,68,68,-4,70,40,5
moussoro,td,13,13,63,25,0,6
betare oya,cm,5,5,67,93,12,4
kayes,ml,14,14,72,38,8,8
totness,sr,33,33,61,82,1,8
kerema,pg,-7,-7,79,87,92,2
dubrovnik,hr,42,42,50,87,40,6
chicama,pe,-7,-7,71,83,90,12
tadpatri,in,14,14,79,65,76,4
nikki,bj,9,9,76,61,8,12
potosi,bo,-19,-19,35,86,0,2
pa sang,th,18,18,80,44,20,3
port harcourt,ng,4,4,71,96,56,2
mokhotlong,ls,-29,-29,42,100,100,2
mgandu,tz,-5,-5,60,97,76,2
vigrestad,no,58,58,19,52,0,4
wana,pk,32,32,45,71,44,2
at-bashi,kg,41,41,13,54,0,2
galesong,id,-5,-5,83,97,0,6
ornes,no,49,49,25,86,90,17
macau,br,-5,-5,79,70,8,9
slonim,by,53,53,11,62,0,14
padang,id,0,0,83,100,12,2
